Id,ProductId,Summary,Text,sentences,scores,max_score,label
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals.",0.121212121,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran.",0.046511628,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it.",0,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","I must admit, I was pleasantly surprised.",0,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming).",0.434782609,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time.",0.066666667,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.",I don't care for soggy cereal) and don't get mushy.,0.105263158,0.434782609,negative
493728,B0044CPA28,A little sweet and a little nutty.,"To be honest, I am not a breakfast eater, however, when I want something quick and easy, I tend to pick traditional, plain or simple cereals. My favorites are Corn Flakes (with sliced bananas), or Cheerios (original), but when I want to get fancy, I will settle for Honey Nut Cheerios (which can sometimes be too sweet), Fruit & Fiber, or Raisin Bran. So when ""Crunchy Nut Golden Honey Nut"" was offered, I jumped on the opportunity to try it. I must admit, I was pleasantly surprised. Each flake offers, a little sweetness (not too much) and a little crunch (not too overwhelming). And even in milk, the flakes stay relatively firm (I don't tend to let my cereal stand for long periods of time. I don't care for soggy cereal) and don't get mushy. I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.","I would definitely recommend this cereal for those who enjoy slightly sweet, with a nutty flavor, cereals.",0.25,0.434782609,positive
493740,B0044CPA28,Good but a little sweet,"My normal breakfast is cereal with fruit.  This cereal is good and kept its crunch, but it was a little too sweet for me.  I am not sure if it is the addition of the honey because the sugar content is 12% which is not really much higher than some of my other cereals, but I did find the taste a little sweeter.<br /><br />As far as I am concerned, the nuts were pretty much non-existent. It is basically sugar/honey and cornflakes.<br /><br />Caloric count with skim milk is 160 calories for 3/4 of a cup of cereal and 1/2 cup of skim milk--I guess that is pretty average.<br /><br />Overall, not a bad cereal, but I prefer some of the other Kellogg's cereals.",My normal breakfast is cereal with fruit.,0,0.454545455,negative
493740,B0044CPA28,Good but a little sweet,"My normal breakfast is cereal with fruit.  This cereal is good and kept its crunch, but it was a little too sweet for me.  I am not sure if it is the addition of the honey because the sugar content is 12% which is not really much higher than some of my other cereals, but I did find the taste a little sweeter.<br /><br />As far as I am concerned, the nuts were pretty much non-existent. It is basically sugar/honey and cornflakes.<br /><br />Caloric count with skim milk is 160 calories for 3/4 of a cup of cereal and 1/2 cup of skim milk--I guess that is pretty average.<br /><br />Overall, not a bad cereal, but I prefer some of the other Kellogg's cereals.","This cereal is good and kept its crunch, but it was a little too sweet for me.",0.454545455,0.454545455,positive
